barrel,642,1124,128,64
brackish,417,353,96,192
bridges,642,899,192,224
buckets,771,1124,96,64
cabinets,1219,0,192,416
castle_lightsources,738,610,160,128
castle_outside,0,0,544,352
castlefloors_outside,930,1059,128,160
castlefloors,0,899,320,320
castlewalls,545,0,384,480
cement,1219,963,96,192
cementstair,545,481,160,128
chests,1316,963,64,96
country,706,481,160,128
cup,1358,1220,32,64
dirt,0,1220,96,192
dirt2,97,1220,96,192
dungeon,0,353,416,256
grass,194,1220,96,192
grassalt,291,1220,96,192
hole,388,1220,96,192
holek,485,1220,96,192
holemid,582,1220,96,192
house,930,385,288,224
inside,321,899,320,320
kitchen,835,899,64,128
lava,679,1220,96,192
lavarock,776,1220,96,192
mountains,0,610,384,288
rock,835,1028,64,32
signs,578,771,96,64
stairs,930,610,256,448
treetop,1219,417,192,224
trunk,385,771,192,96
victoria,385,610,352,160
water,873,1220,96,192
waterfall,1059,1059,96,160
watergrass,970,1220,96,192
fence_alt,1067,1220,96,192
plants,930,0,288,384
plowed_soil,1164,1220,96,192
reed,1219,642,96,320
sand,1261,1220,96,192
sandwater,1412,0,96,192
tallgrass,1412,193,96,192
wheat,1412,386,96,192
youngwheat,1412,579,96,192
